Brewery,City,Name,Abv,Ibu,Srm,Tags
Rogue Ales,Newport,Morimoto Imperial Pilsner,8.8%,?,?,?
Rogue Ales,Newport,Morimoto Soba Ale,?,?,?,other_style|fruit_beer
Rogue Ales,Newport,Old Crustacean Barleywine 1993,?,?,?,?
Rogue Ales,Newport,Old Crustacean Barleywine 1996,?,?,?,?
Rogue Ales,Newport,Old Crustacean Barleywine 2004,11.5%,?,?,north_american_ale|american_style_barley_wine_ale
Rogue Ales,Newport,Old Crustacean Barleywine 2005,?,?,?,?
Rogue Ales,Newport,Old Crustacean Barleywine 2006,11.5%,?,?,?
Rogue Ales,Newport,Oregon Golden Ale,?,?,?,north_american_ale|golden_or_blonde_ale
Rogue Ales,Newport,Red Fox,?,?,?,north_american_ale|american_style_amber_red_ale
Rogue Ales,Newport,Rogue Smoke,6%,?,?,?
Rogue Ales,Newport,Roughstock Ale,?,?,?,north_american_ale|american_style_pale_ale
Rogue Ales,Newport,Santas Private Reserve,6%,?,?,north_american_ale|american_style_amber_red_ale
Rogue Ales,Newport,Shakespeare Stout,6%,?,?,north_american_ale|american_style_stout
Rogue Ales,Newport,Ten Thousand Brew Ale,10%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Rogue Ales,Newport,Tracktown IPA,7%,?,?,north_american_ale|american_style_india_pale_ale
Rogue Ales,Newport,Trafalgar IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Rogue Ales,Newport,XS Imperial Stout,10%,?,?,north_american_ale|american_style_stout
Rogue Ales,Newport,Yellow Snow IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Rogue Ales,Newport,Youngers Special Bitter,?,?,?,british_ale|extra_special_bitter
Rogue Ales,Newport,Ãœber Pilsner,5.2%,?,?,german_lager|german_style_pilsener
Roots Organic Brewing,Portland,Woody Organic IPA,6.2%,?,?,north_american_ale|american_style_india_pale_ale
Saxer Brewing,Lake Oswego,Jack Frost Winter Doppelbock,?,?,?,german_lager|traditional_german_style_bock
Saxer Brewing,Lake Oswego,Pilsner,?,?,?,north_american_lager|american_style_lager
Siletz Roadhouse & Brewery,Siletz,Black Diamond Imperial Porter,?,?,?,north_american_ale|american_style_stout
Siletz Roadhouse & Brewery,Siletz,Mojo Ale,?,?,?,?
Siletz Roadhouse & Brewery,Siletz,Oatmeal Cream Stout,?,?,?,north_american_ale|american_style_stout
Siletz Roadhouse & Brewery,Siletz,Paddle Me IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Siletz Roadhouse & Brewery,Siletz,Spruce Ale,?,?,?,?
Siletz Roadhouse & Brewery,Siletz,Wooly Bully,?,?,?,german_lager|german_style_oktoberfest
Standing Stone Brewing Company,Ashland,Standing Stone Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Standing Stone Brewing Company,Ashland,Standing Stone Double India Pale Ale,?,?,?,north_american_ale|imperial_or_double_india_pale_ale
Standing Stone Brewing Company,Ashland,Standing Stone Hefeweizen,?,?,?,german_ale|south_german_style_hefeweizen
Standing Stone Brewing Company,Ashland,Standing Stone India Pale Ale,?,?,?,north_american_ale|american_style_india_pale_ale
Standing Stone Brewing Company,Ashland,Standing Stone Lager,?,?,?,north_american_lager|american_style_lager
Standing Stone Brewing Company,Ashland,Standing Stone Nitro Stout,?,?,?,north_american_ale|american_style_stout
Standing Stone Brewing Company,Ashland,Standing Stone Saison,?,?,?,belgian_and_french_ale|french_&_belgian_style_saison
Terminal Gravity Brewing,Enterprise,IPA,6.7%,?,?,north_american_ale|american_style_india_pale_ale
Umpqua Brewing,Roseburg,No Doubt Stout,?,?,?,north_american_ale|american_style_stout
Umpqua Brewing,Roseburg,Summer Wheat,?,?,?,north_american_lager|american_style_lager
White Oak Cider,Newberg,1997,6.8%,?,?,?
White Oak Cider,Newberg,Black Cider,?,?,?,?
Widmer Brothers Brewing,Portland,Broken Halo IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Widmer Brothers Brewing,Portland,Drop Top Amber Ale,5%,?,?,north_american_ale|american_style_amber_red_ale
Widmer Brothers Brewing,Portland,Sweet Betty Classic Blonde Ale,?,?,?,?
Widmer Brothers Brewing,Portland,Widmer Hefeweizen,4.9%,?,?,german_ale|south_german_style_hefeweizen
Widmer Brothers Brewing,Portland,Widmer W'08,4.9%,?,?,other_style|light_american_wheat_ale_or_lager
Wild Duck Brewing,Eugene,Imperial Sasquatch,?,?,?,?
Wild River Brewing and Pizza - Cave Junction,Cave Junction,Blackberry,?,?,?,other_style|light_american_wheat_ale_or_lager
Wild River Brewing and Pizza - Cave Junction,Cave Junction,Dark,?,?,?,irish_ale|porter
Wild River Brewing and Pizza - Cave Junction,Cave Junction,ESB,?,?,?,?
Wild River Brewing and Pizza - Cave Junction,Cave Junction,Light,?,?,?,?
Wild River Brewing and Pizza - Cave Junction,Cave Junction,Nut Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Yamhill Brewing,Portland,Best Mild (discontinued),?,?,?,british_ale|english_style_pale_mild_ale
