Brewery,City,Name,Tags
Jacob Leinenkugel Brewing Company,Chippewa Falls,Leinenkugel's Honey Weiss,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Leinenkugel's Summer Shandy,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Leinenkugel's Sunset Wheat,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Northwoods Lager,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Oktoberfest,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Original,?
Jacob Leinenkugel Brewing Company,Chippewa Falls,Red Lager,?
Keg Microbrewery & Restaurant,Stevens Point,Brown,?
Keg Microbrewery & Restaurant,Stevens Point,Pale Ale,?
Keg Microbrewery & Restaurant,Stevens Point,Stout,?
Keg Microbrewery & Restaurant,Stevens Point,Wheat,?
Lake Louie Brewing,Arena,Premium Ale,?
Lakefront Brewery,Milwaukee,Beer Line 2000,?
Lakefront Brewery,Milwaukee,Big Easy Beer,?
Lakefront Brewery,Milwaukee,Bock,?
Lakefront Brewery,Milwaukee,Broke Spoke Pilsner,?
Lakefront Brewery,Milwaukee,Cattail Ale,?
Lakefront Brewery,Milwaukee,Cream City Pale Ale,?
Lakefront Brewery,Milwaukee,Eastside Dark,?
Lakefront Brewery,Milwaukee,Fuel Cafe,?
Lakefront Brewery,Milwaukee,Holiday Spice Lager Beer,?
Lakefront Brewery,Milwaukee,Klisch,?
Lakefront Brewery,Milwaukee,Lakefront IPA,?
Lakefront Brewery,Milwaukee,Oktoberfest,?
Lakefront Brewery,Milwaukee,Old 3rd Street XXX Belgian Strong Ale,?
Lakefront Brewery,Milwaukee,Organic Extra Special Bitter,?
Lakefront Brewery,Milwaukee,Pumpkin Lager,?
Lakefront Brewery,Milwaukee,Rendezvous Bi̬re de Garde,?
Lakefront Brewery,Milwaukee,Riverwest Stein Beer,?
Lakefront Brewery,Milwaukee,Snake Chaser,?
Lakefront Brewery,Milwaukee,White,?
Legends Brewhouse & Eatery of Green Bay,Green Bay,Amber,?
Legends Brewhouse & Eatery of Green Bay,Green Bay,Light,?
Legends Brewhouse & Eatery of Green Bay,Green Bay,Wheat,?
Loaf and Stein Brewing,Eagle River,Blonde,?
Loaf and Stein Brewing,Eagle River,Nut Brown,?
Loaf and Stein Brewing,Eagle River,Railroad Street Porter,?
Loaf and Stein Brewing,Eagle River,Red Ale,?
Logjam Microbrewery,Unity,Lager,?
Logjam Microbrewery,Unity,Swede Saw Red Ale,?
Mambo Beer,Mequon,Beer,?
Miller Brewing,Milwaukee,Icehouse,?
Miller Brewing,Milwaukee,Mickey's Ice,?
Miller Brewing,Milwaukee,Miller Chill,?
Miller Brewing,Milwaukee,Miller Genuine Draft,?
Miller Brewing,Milwaukee,Miller Genuine Draft 64,?
Miller Brewing,Milwaukee,Miller High Life,?
Miller Brewing,Milwaukee,Miller Lite,?
Miller Brewing,Milwaukee,Milwaukee's Best Light,?
Miller Brewing,Milwaukee,Milwaukees Best,?
Miller Brewing,Milwaukee,Olde English 800,?
Miller Brewing,Milwaukee,Red Dog,?
Milwaukee Ale House,Milwaukee,Belgian Wit,?
Milwaukee Ale House,Milwaukee,Dark Belgian Wit,?
Milwaukee Ale House,Milwaukee,Downtown Lites Honey Ale,?
Milwaukee Ale House,Milwaukee,Duggie Meyer Wee Heavy,?
Milwaukee Ale House,Milwaukee,Pull Chain Pail Ale,?
Milwaukee Ale House,Milwaukee,Rye I Oughta,?
Milwaukee Ale House,Milwaukee,Session Ale,?
Milwaukee Ale House,Milwaukee,Sheepshead Stout,?
Minhas Craft Brewery,Monroe,Berghoff Genuine Dark,?
Minhas Craft Brewery,Monroe,Berghoff Hefeweizen,?
Minhas Craft Brewery,Monroe,Berghoff Oktoberfest Beer,?
Minhas Craft Brewery,Monroe,Berghoff Original Lager Beer,?
Minhas Craft Brewery,Monroe,Dempsey Stout,?
Minocqua Brewing Company,Minocqua,#40 Golden Lager,?
Minocqua Brewing Company,Minocqua,Beekeepers Honey Ale,?
Minocqua Brewing Company,Minocqua,Bohemian Pilsner,?
Minocqua Brewing Company,Minocqua,Firestarter Smoked Lager,?
Minocqua Brewing Company,Minocqua,Nut Brown Ale,?
Minocqua Brewing Company,Minocqua,Pale Ale,?
Minocqua Brewing Company,Minocqua,Red Ale,?
Minocqua Brewing Company,Minocqua,Rye Porter,?
Minocqua Brewing Company,Minocqua,Wild Rice Lager,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Blonde Bock,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Dells Chief Amber Ale,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Dunkel Lager,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Light Ale,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,New Hops Ale,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,North of the Border Porter,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Oktoberfest,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Pilsner,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Schmitz Pale Ale No. 5,?
Moosejaw Pizza & Dells Brewing Company,Wisconsin Dells,Weissbier,?
New Glarus Brewing Company,New Glarus,Apple Ale,?
New Glarus Brewing Company,New Glarus,Coffee Stout,?
New Glarus Brewing Company,New Glarus,Copper Kettle Weiss,?
New Glarus Brewing Company,New Glarus,Edel-Pils,?
New Glarus Brewing Company,New Glarus,Fat Squirrel Nut Brown Ale,?
New Glarus Brewing Company,New Glarus,Home Town Blonde,?
New Glarus Brewing Company,New Glarus,Hop Hearty IPA,?
New Glarus Brewing Company,New Glarus,Imperial Stout,?
New Glarus Brewing Company,New Glarus,Native Ale,?
New Glarus Brewing Company,New Glarus,Norski Honey Bock,?
New Glarus Brewing Company,New Glarus,Smoked Rye Bock,?
New Glarus Brewing Company,New Glarus,Snowshoe Ale,?
New Glarus Brewing Company,New Glarus,Solstice Wheat,?
New Glarus Brewing Company,New Glarus,Spotted Cow,?
New Glarus Brewing Company,New Glarus,Staghorn Oktoberfest,?
New Glarus Brewing Company,New Glarus,Symposium Eisbock,?
New Glarus Brewing Company,New Glarus,Totally Naked,?
New Glarus Brewing Company,New Glarus,Tripel,?
New Glarus Brewing Company,New Glarus,Uff-Da Bock,?
New Glarus Brewing Company,New Glarus,Wisconsin Belgian Red Brand,?
New Glarus Brewing Company,New Glarus,Zwickel,?
Nicolet Brewing,Florence,Blonde,?
Nicolet Brewing,Florence,Classic Pilsener,?
Nicolet Brewing,Florence,Dark Pilsener,?
Nicolet Brewing,Florence,Oktoberfest,?
Nicolet Brewing,Florence,Prostrator Doppelbock,?
Nicolet Brewing,Florence,Winter Fest Beer,?
Northwoods Brewpub Grill,Eau Claire,Bandit Brown,?
Northwoods Brewpub Grill,Eau Claire,Birch Wood Ale,?
Northwoods Brewpub Grill,Eau Claire,Bubba,?
Northwoods Brewpub Grill,Eau Claire,Dark Walnut Stout,?
Northwoods Brewpub Grill,Eau Claire,Half Moon Gold,?
Northwoods Brewpub Grill,Eau Claire,Irish Red,?
Northwoods Brewpub Grill,Eau Claire,Poplar Porter,?
Northwoods Brewpub Grill,Eau Claire,Red Cedar Red,?
Northwoods Brewpub Grill,Eau Claire,White Weasel Beer,?
Northwoods Brewpub Grill,Eau Claire,Whitetail Wheat,?
Oconomowoc Brewing,Oconomowoc,Alt,?
Oconomowoc Brewing,Oconomowoc,Amber Rye Lager,?
Onopa Brewing,Milwaukee,American Pale Ale,?
Onopa Brewing,Milwaukee,Nut Brown Ale,?
Onopa Brewing,Milwaukee,Oatmeal Stout,?
Onopa Brewing,Milwaukee,Porter,?
Oso,Plover,Dank,?
Pearl Street Brewery,La Crosse,Old Skeezer Barley Wine,?
Port Washington Brewing,Port Washington,Amber Ale,?
Port Washington Brewing,Port Washington,Old Port Porter,?
Port Washington Brewing,Port Washington,Pier 96 Lager,?
Port Washington Brewing,Port Washington,Post Washington Octoberfest,?
Port Washington Brewing,Port Washington,Transcendental Wheat Beer,?
Pumphouse Pizza and Brewing,Lake Delton,T.P.H. Porter,?
Rail House Restaurant and Brewpub,Marinette,Gold Rush (discontinued),?
Rail House Restaurant and Brewpub,Marinette,Honey Weiss (discontinued),?
Rail House Restaurant and Brewpub,Marinette,Oktoberfest (discontinued),?
Rail House Restaurant and Brewpub,Marinette,Pilsner (discontinued),?
Rail House Restaurant and Brewpub,Marinette,Raspberry Pilsner,?
Rail House Restaurant and Brewpub,Marinette,Red,?
Rail House Restaurant and Brewpub,Marinette,Scottish Ale,?
Rail House Restaurant and Brewpub,Marinette,Silver Cream,?
Rail House Restaurant and Brewpub,Marinette,Stout (discontinued),?
Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Amber Lager,?
Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Oatmeal Stout,?
Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Pale Ale,?
Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Wheat Ale,?
Remington Watson Smith Brewing,Waukesha,Amber Ale,?
Remington Watson Smith Brewing,Waukesha,Nocturn,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Barleywine,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Belgian Trippel,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Hefeweizen,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Honey Creek Pale Ale,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Pilsner,?
Rock Bottom Restaurant & Brewery - Milwaukee,Milwaukee,Stillwater Stout,?
Rothaus Brauerei,Hartford,Dunkles,?
Rothaus Brauerei,Hartford,Export,?
Rothaus Brauerei,Hartford,Hefeweissbier,?
Rothaus Brauerei,Hartford,Helles,?
Rothaus Brauerei,Hartford,Leicht,?
Rothaus Brauerei,Hartford,Pilsner,?
Rowland's Calumet Brewery,Chilton,Calumet Amber,?
Rowland's Calumet Brewery,Chilton,Calumet Bock,?
Rowland's Calumet Brewery,Chilton,Calumet Dark,?
Rowland's Calumet Brewery,Chilton,Calumet K̦lsch,?
Rowland's Calumet Brewery,Chilton,Calumet Pils,?
Rowland's Calumet Brewery,Chilton,Calumet Wheat,?
Rush River Brewing,River Falls,The Unforgiven Amber Ale,?
Sand Creek Brewing Company,Black River Falls,Groovy Beer,?
Sand Creek Brewing Company,Black River Falls,Imperial Stout,?
Sand Creek Brewing Company,Black River Falls,Lilja's Hop Nest Monster,?
Sand Creek Brewing Company,Black River Falls,Oderbolz Bock,?
Sand Creek Brewing Company,Black River Falls,Pioneer Black River Red,?
Sand Creek Brewing Company,Black River Falls,Whiskey Barrel Whitetail Cream Ale,?
Shipwrecked Brew Pub,Egg Harbor,Bayside Blonde Ale,?
Shipwrecked Brew Pub,Egg Harbor,Door County Cherry Wheat,?
Shipwrecked Brew Pub,Egg Harbor,Lighthouse Light,?
Shipwrecked Brew Pub,Egg Harbor,Peninsula Porter,?
Shipwrecked Brew Pub,Egg Harbor,Raspberry,?
Slab City Brewing,Bonduel,Ale,?
Slab City Brewing,Bonduel,Esker Alt,?
Slab City Brewing,Bonduel,High Noon Wheat Beer,?
Slab City Brewing,Bonduel,Holiday Ale,?
Slab City Brewing,Bonduel,Milkhouse Stout,?
Slab City Brewing,Bonduel,Old 47 Ale,?
Slab City Brewing,Bonduel,Shawano Gold,?
Slab City Brewing,Bonduel,William Capen Bitter Ale,?
